
**********************************
----------------------------------
             Secuencial           
----------------------------------
**********************************
----------------------------------
         img1 720p                
----------------------------------
Kernel		Time
3 	0.120
5 	0.106
7 	0.090
9 	0.097
11 	0.097
13 	0.079
15 	0.107
----------------------------------
          img2 1080p              
----------------------------------
Kernel		Time
3 	0.088
5 	0.060
7 	0.064
9 	0.092
11 	0.068
13 	0.096
15 	0.107
----------------------------------
          img3 4k                 
----------------------------------
Kernel		Time
3 	0.099
5 	0.096
7 	0.079
9 	0.108
11 	0.092
13 	0.081
15 	0.072

**********************************
----------------------------------
          Paralelizado            
----------------------------------
**********************************
----------------------------------
          img1 720p               
----------------------------------
Kernel		Blocks		Threads		Time
13 			1 		384 		0.893
13 			1 		512 		0.723
13 			1 		640 		0.705
13 			1 		768 		0.618
13 			1 		896 		0.643
13 			1 		1024 		0.628
13 			2 		128 		1.122
13 			2 		256 		0.732
13 			2 		384 		0.616
13 			2 		512 		0.585
13 			2 		640 		0.701
13 			2 		768 		0.590
13 			2 		896 		0.653
13 			2 		1024 		0.627
13 			3 		128 		0.880
13 			3 		256 		0.667
13 			3 		384 		0.632
13 			3 		512 		0.617
13 			3 		640 		0.651
13 			3 		768 		0.568
13 			3 		896 		0.628
13 			3 		1024 		0.617
13 			4 		128 		0.750
13 			4 		256 		0.676
13 			4 		384 		0.672
13 			4 		512 		0.628
13 			4 		640 		0.634
13 			4 		768 		0.639
13 			4 		896 		0.655
13 			4 		1024 		0.638
15 			1 		128 		2.494
15 			1 		256 		1.406
15 			1 		384 		1.072
15 			1 		512 		0.909
15 			1 		640 		0.835
15 			1 		768 		0.683
15 			1 		896 		0.731
15 			1 		1024 		0.745
15 			2 		128 		1.408
15 			2 		256 		0.881
15 			2 		384 		0.733
15 			2 		512 		0.730
15 			2 		640 		0.846
15 			2 		768 		0.739
15 			2 		896 		0.704
15 			2 		1024 		0.711
15 			3 		128 		1.059
15 			3 		256 		0.778
15 			3 		384 		0.805
15 			3 		512 		0.780
15 			3 		640 		0.768
15 			3 		768 		0.733
15 			3 		896 		0.684
15 			3 		1024 		0.763
15 			4 		128 		0.889
15 			4 		256 		0.790
15 			4 		384 		0.801
15 			4 		512 		0.746
15 			4 		640 		0.797
15 			4 		768 		0.727
15 			4 		896 		0.750
15 			4 		1024 		0.683
----------------------------------
          img3 4k                 
----------------------------------
Kernel		Blocks		Threads		Time
3 			1 			128 		1.015
3 			1 			256 		0.840
3 			1 			384 		0.769
3 			1 			512 		0.733
3 			1 			640 		0.666
3 			1 			768 		0.712
3 			1 			896 		0.710
3 			1 			1024 		0.701
3 			2 			128 		0.895
3 			2 			256 		0.706
3 			2 			384 		0.722
3 			2 			512 		0.717
3 			2 			640 		0.694
3 			2 			768 		0.714
3 			2 			896 		0.734
3 			2 			1024 		0.808
3 			3 			128 		0.793
3 			3 			256 		0.737
3 			3 			384 		0.732
3 			3 			512 		0.743
3 			3 			640 		0.765
3 			3 			768 		0.725
3 			3 			896 		0.744
3 			3 			1024 		0.729
3 			4 			128 		0.763
3 			4 			256 		0.736
3 			4 			384 		0.714
3 			4 			512 		0.692
3 			4 			640 		0.740
3 			4 			768 		0.810
3 			4 			896 		0.776
3 			4 			1024 		0.716
5 			1 			128 		1.586
5 			1 			256 		1.081
5 			1 			384 		0.929
5 			1 			512 		0.880
5 			1 			640 		0.827
5 			1 			768 		0.817
5 			1 			896 		0.801
5 			1 			1024 		0.726
5 			2 			128 		1.129
5 			2 			256 		0.859
5 			2 			384 		0.822
5 			2 			512 		0.823
5 			2 			640 		0.812
5 			2 			768 		0.788
5 			2 			896 		0.791
5 			2 			1024 		0.806
5 			3 			128 		0.916
5 			3 			256 		0.794
5 			3 			384 		0.774
5 			3 			512 		0.845
5 			3 			640 		0.876
5 			3 			768 		0.826
5 			3 			896 		0.851
5 			3 			1024 		0.814
5 			4 			128 		0.803
5 			4 			256 		0.815
5 			4 			384 		0.751
5 			4 			512 		0.814
5 			4 			640 		0.813
5 			4 			768 		0.830
5 			4 			896 		0.855
5 			4 			1024 		0.801
7 			1 			128 		2.236
7 			1 			256 		1.415
7 			1 			384 		1.145
7 			1 			512 		1.032
7 			1 			640 		0.906
7 			1 			768 		0.917
7 			1 			896 		0.929
7 			1 			1024 		0.928
7 			2 			128 		1.449
7 			2 			256 		1.021
7 			2 			384 		1.055
7 			2 			512 		0.889
7 			2 			640 		0.966
7 			2 			768 		0.905
7 			2 			896 		0.915
7 			2 			1024 		0.948
7 			3 			128 		1.161
7 			3 			256 		0.944
7 			3 			384 		0.966
7 			3 			512 		0.950
7 			3 			640 		0.970
7 			3 			768 		0.916
7 			3 			896 		1.012
7 			3 			1024 		0.946
7 			4 			128 		1.047
7 			4 			256 		0.956
7 			4 			384 		0.956
7 			4 			512 		0.971
7 			4 			640 		0.982
7 			4 			768 		0.954
7 			4 			896 		0.920
7 			4 			1024 		0.961
9 			1 			128 		3.071
9 			1 			256 		1.889
9 			1 			384 		1.441
9 			1 			512 		1.273
9 			1 			640 		1.138
9 			1 			768 		1.107
9 			1 			896 		1.013
9 			1 			1024 		1.135
9 			2 			128 		1.906
9 			2 			256 		1.257
9 			2 			384 		1.086
9 			2 			512 		1.059
9 			2 			640 		1.142
9 			2 			768 		1.095
9 			2 			896 		1.086
9 			2 			1024 		1.163
9 			3 			128 		1.487
